"slug","faqJson"
"does-texas-have-no-state-income-tax","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Does Texas really have no state income tax, and what do I pay instead?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Yes. Texas has no state individual income tax. It funds local government mostly through property tax, and sales tax runs 6.25% state plus local add-ons to a maximum 8.25%, which is what Boerne charges. Texas property is reappraised at market value annually, subject to a 10% homestead cap.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What is the combined property tax rate in Boerne, Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""For 2025, a home inside the Boerne city limits in Boerne ISD sat under Boerne ISD 1.0109, City of Boerne 0.4716 and Kendall County 0.377, a combined 1.8595 per $100 of taxable value, before any special district on the parcel and before exemptions. Some parcels also carry a MUD, WCID or Cow Creek GCD line.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""How often is Texas property reappraised?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Annually, at market value. Once a residence homestead exemption is in place, the increase in net appraised value is capped at 10% per year. A property without a homestead exemption has no cap, which is why the first reappraisal after a purchase can move a long way.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What is the sales tax rate in Boerne, Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""8.25% total, the Texas maximum: 6.25% state, 1.50% City of Boerne and 0.50% Kendall County. Hotel occupancy tax on short-term stays is 13% total, 6% state plus 7% city.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""When is the deadline to protest a Texas property appraisal?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""May 15, or 30 days after the appraisal district mails the notice of appraised value, whichever is later. The clock runs from the mailing date, not delivery, and a weekend or holiday deadline rolls to the next business day. The notice of protest form is Comptroller Form 50-132.""
      }
    }
  ]
}"
"how-are-rental-properties-taxed-differently-in-texas","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""How are rental properties taxed differently from a homestead in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""A Texas rental gets no residence homestead exemption and no 10 percent homestead appraisal cap. It is instead covered by the separate 20 percent circuit breaker on non-homestead property under Tax Code Section 23.231, which applies to tax years 2024 through 2026 and expires December 31, 2026 unless the Legislature renews it.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Can I get a homestead exemption on a rental property in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""No. Residence homestead exemptions require that the owner owned and occupied the property as a principal residence on January 1 of the tax year. That means a rental gets none of the $140,000 school district exemption, the additional $60,000 age-65-or-disabled exemption, the local option exemption of up to 20 percent, or the over-65 school tax ceiling.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What is the 20 percent circuit breaker on Texas non-homestead property?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Tax Code Section 23.231 limits annual increases in appraised value to 20 percent for non-homestead real property valued at or below an annually indexed threshold. It was created by SB 2 in 2023 as a pilot for tax years 2024, 2025 and 2026 and expires December 31, 2026 unless the Legislature renews it. It excludes agricultural special-appraisal land and homesteads under the 10 percent cap.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""When is the deadline to protest a rental property's appraisal in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""May 15, or 30 days after the appraisal district mails the notice of appraised value, whichever is later. The clock runs from the mailing date rather than delivery. The notice of protest is Comptroller Form 50-132, and the appraisal review board must give at least 15 days notice of the hearing. Boerne-area property protests go to Kendall Appraisal District, not Bexar CAD.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Who handles depreciation and deductions on a Texas rental?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""A CPA or tax advisor. Depreciation, depreciation recapture on sale, passive activity loss rules, the line between a repair and a capital improvement, and the interaction with a 1031 exchange are all decided filer by filer on the federal return. Texas has no state individual income tax, which changes the arithmetic but not the questions.""
      }
    }
  ]
}"
"how-do-i-file-for-a-homestead-exemption-in-kendall-county","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""How do I file for a homestead exemption in Kendall County, Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""File with the Kendall Appraisal District at kendallad.org, not Bexar CAD. Boerne is in Kendall County. You must have owned and occupied the home as your principal residence on January 1, and the application is due before May 1. There is no fee to file directly with the district.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Do I file a Boerne homestead exemption with Bexar CAD?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""No. Boerne is the county seat of Kendall County, not part of Bexar County or the City of San Antonio. Boerne homeowners file with the Kendall Appraisal District. The appraisal district is determined by which county the parcel is in, not by the metro area or mailing address.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Does it cost anything to file a homestead exemption in Kendall County?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""No. Filing directly with the Kendall Appraisal District is free. New owners often receive official-looking mail offering to file the exemption for a fee. Those are paid third-party services, not county correspondence.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Where is the Kendall Appraisal District office and how do I contact it?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Kendall Appraisal District is at 118 Market Avenue, Boerne, TX 78006, phone (830) 249-8012, email requestinfo@kendallad.org. Appraisal and Operations is open Monday to Friday 8:00 a.m. to 5:00 p.m., and Tax Collection Monday to Friday 8:00 a.m. to 4:00 p.m. Property search is at esearch.kendallad.org and the Taxpayer Portal for exemptions and protests is at eprotest.kendallad.org.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Which Kendall County entities offer an over-65 or disability freeze?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Kendall Appraisal District lists the City of Boerne, Boerne ISD, Comfort ISD and Kendall County as jurisdictions offering over-65 and disability tax freezes. Confirm the current status for a specific parcel with the appraisal district, since local options can change.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What taxing units appear on a Kendall County tax bill?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Per Kendall Appraisal District, the entities include Boerne ISD, Comfort ISD, City of Boerne, Kendall County, Kendall County MUD, Miralomas MUD, Cow Creek Groundwater Conservation District and Kendall County WCID #1. Which ones apply depends on the parcel.""
      }
    }
  ]
}"
"how-do-i-protest-my-property-taxes-in-texas","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""How do I protest my property taxes in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""File a written notice of protest with your appraisal district by May 15, or 30 days after the district mails your notice of appraised value, whichever is later. Comptroller Form 50-132 works. The appraisal review board must give at least 15 days notice of the hearing, which you may attend in person, by phone, by video or by affidavit.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What is the Texas property tax protest deadline?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""May 15, or 30 days after the appraisal district mails the notice of appraised value, whichever is later. The clock runs from the mailing date, not the date you receive it. If the deadline falls on a weekend or legal holiday it moves to the next business day.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""When does the appraisal district have to send my notice of appraised value?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""By May 1, or by April 1 for a residence homestead, or as soon as practical thereafter under Tax Code 25.19. Because homesteads get the earlier notice, homeowners generally have more time to prepare a protest than owners of other property types.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Do I have to appear in person at an ARB hearing in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""No. An owner may appear in person, by telephone or videoconference, or by submitting a written affidavit. The appraisal review board must give at least 15 days notice of the hearing date, time and place.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What does a Texas notice of protest have to say?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""It must be in writing and identify the property, the owner, and a subject showing the owner is dissatisfied with a determination of the appraisal district. Comptroller Form 50-132 is the standard form, and most districts accept online filing, but no specific format is required.""
      }
    }
  ]
}"
"how-do-i-terminate-a-contract-in-texas","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""How do I terminate a real estate contract in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""You terminate a Texas contract by exercising a right the contract gives you and delivering written notice — most commonly during the option period using TREC form 38-8. Terminating the contract and getting the earnest money back are two separate events: escrowed funds cannot be released without mutual agreement or a court order.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What form do I use to terminate a contract during the option period in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""TREC's Notice of Buyer's Termination of Contract, form 38-8, effective 04/01/2025. Paragraph 5B of form 20-19 requires notice of termination to the seller by 5:00 p.m. local time where the Property is located, by the date specified. The option fee will not be refunded and any earnest money will be refunded to the buyer.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Can I terminate a Texas contract after the option period ends?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Only if another right applies. The Third Party Financing Addendum, form 40-11, creates a financing exit with its own deadline, and the appraisal addendum, form 49-1, covers a low appraisal. Inside form 20-19, paragraph 7B(2) covers a missing seller's disclosure notice, paragraph 6B covers a title commitment that never arrives, paragraph 6D covers uncured title objections, and paragraph 14 covers casualty loss. Each requires written notice before its deadline.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What if the seller never gave me the disclosure notice in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Paragraph 7B(2) of TREC form 20-19 says that if the buyer does not receive the Seller's Disclosure Notice, the buyer may terminate at any time prior to the closing with the earnest money refunded. If the seller then delivers it, the buyer may terminate for any reason within 7 days after receiving it or prior to closing, whichever first occurs.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Does terminating the contract automatically return my earnest money in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""No. Termination and escrow release are separate. Earnest money in escrow cannot be released to either party without mutual agreement or a court order, so a seller who declines to sign the release leaves the funds sitting even after the contract has ended.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Can a seller terminate a contract in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Only where the contract gives the seller a right, typically after a buyer default and any required cure period. TREC's Notice of Seller's Termination of Contract, form 50-0, papers that right but does not create one. A seller wanting out because a better offer arrived should talk with a Texas real estate attorney first.""
      }
    }
  ]
}"
"how-does-the-option-fee-work-in-texas","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""How does the option fee work in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""The option fee is a negotiated amount the buyer delivers to the escrow agent — the title company, not the seller — within three days after the effective date. It pays for the unrestricted right to terminate. If the sale closes, the fee is credited to the sales price. If the buyer terminates, the seller keeps it.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Who does the option fee get paid to in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""The escrow agent, which is the title company handling the transaction. It is not paid to the seller directly and not to the listing agent. The escrow agent may then release the fee to the seller before closing, without the buyer's consent, once good funds are received.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What is the deadline to deliver the option fee in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Paragraph 5A of TREC form 20-19 requires delivery within 3 days after the Effective Date, to the Escrow Agent named in the contract rather than to the seller. Paragraph 5A(2) extends the deadline if the last day is a Saturday, Sunday or Legal Holiday as defined in Texas Government Code Sections 662.003(a) and 662.003(b)(4) and (6). Paragraph 5E states time is of the essence.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Can the option fee and earnest money be paid together in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Yes. Paragraph 5A says they may be paid separately or combined in a single payment. Paragraph 5A(3) applies amounts received first to the option fee, then to the earnest money, then to any additional earnest money. An underfunded combined payment therefore leaves the earnest money short, which is a buyer default.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What happens if the option fee amount is left blank in a Texas contract?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Paragraph 5D of TREC form 20-19 states that if no dollar amount is stated as the option fee, or if the buyer fails to deliver it within the time required, the buyer shall not have the unrestricted right to terminate under paragraph 5. A blank option fee kills the termination right just as completely as a late payment, even though an option period is written into the contract.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""How much is the option fee in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""There is no statutory or TREC-set amount. Paragraph 5A of form 20-19 is a fill-in-the-blank dollar figure the buyer and seller negotiate, and it generally tracks the length of the option period and how competitive the offer needs to be.""
      }
    }
  ]
}"
"how-far-is-boerne-from-san-antonio","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""How far is Boerne from San Antonio?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Boerne is roughly 31 miles northwest of San Antonio on Interstate 10, a 30-to-45-minute drive to downtown depending on traffic. Boerne is the county seat of Kendall County, not part of the City of San Antonio and not in Bexar County, so different ordinances and a different appraisal district apply.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Is Boerne a suburb of San Antonio?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Not in any legal sense. Boerne is a separate incorporated city and the county seat of Kendall County, with its own ordinances, its own school district and its own appraisal district. It functions as a commuter option for San Antonio, but San Antonio's rules do not apply there.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""How long is the drive from Boerne to downtown San Antonio?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Generally 30 to 45 minutes depending on traffic, with most of the variability coming from the I-10 and Loop 1604 area on the northwest side of Bexar County. Drive the actual route at your actual departure time before committing to it.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Which appraisal district covers Boerne?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Kendall Appraisal District, at kendallad.org. Homestead exemption filings and appraisal protests for Boerne addresses go there, not to Bexar CAD. The Texas exemption filing deadline is before May 1, and the owner must have owned and occupied the home on January 1 of the tax year.""
      }
    }
  ]
}"
"how-much-down-payment-do-i-need-in-texas","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""How much down payment do I need to buy a house in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""How much you put down depends on the loan program, whether the home will be your homestead or an investment property, and what your lender's overlay requires. Conventional, FHA and VA each set different minimums, and a veteran with full entitlement has no VA loan limit. Only a lender preapproval gives you a real number.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Does a Texas investment property require a larger down payment than a primary residence?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Yes. Occupancy is the single largest factor in the required down payment, larger than credit score. Primary residence, second home and investment property are underwritten as three different risks. Occupancy is a written representation to the lender, and misrepresenting it is mortgage fraud.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Do VA loans in Texas have a loan limit?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""A veteran with full entitlement has no VA loan limit, and the VA guaranty does not exceed 25 percent of the loan. That is a VA rule, not a lender promise — the lender still underwrites income, assets, credit and the appraisal. A veteran with partial entitlement is in a different position, which the Certificate of Eligibility settles.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What cash do I need besides the down payment in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""The option fee and earnest money, both delivered to the title company early in the contract; inspection and due diligence costs paid during the option period; closing costs, which are negotiated in the contract rather than fixed by law; and documented reserves left in the account after closing, which many lender overlays require.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""How does Texas homestead law affect how much I should put down?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Borrowing against a Texas homestead is capped by the Texas Constitution, Section 50(a)(6), at 80 percent of fair market value, with a 12-day waiting period, a 2 percent cap on most fees, non-recourse treatment, and only one such loan at a time. If the plan is to pull cash out later, that cap sets the ceiling. Investment property is not governed by 50(a)(6).""
      }
    }
  ]
}"
"is-boerne-a-good-real-estate-investment","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Is Boerne, Texas a good real estate investment?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Boerne's fundamentals support long-term value: 20.3 percent Kendall County population growth from 2020 to 2025 driven by domestic migration, six straight A ratings for Boerne ISD, and land and groundwater constraints that limit new supply. Cash flow is the hard part, because Texas property tax rates and Hill Country prices compress yields.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Do Texas appraisal caps protect an investment property in Boerne?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""The 10 percent homestead cap applies only to property that already has a homestead exemption, so it does not protect a rental. The separate circuit breaker under Tax Code 23.231 caps non-homestead increases at 20 percent per year, but it is a pilot for tax years 2024 through 2026 and expires December 31, 2026 unless renewed.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What are the property tax rates on a Boerne investment property?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""For a home inside Boerne city limits in Boerne ISD, the 2025 adopted rates per $100 of taxable value were Boerne ISD 1.0109, City of Boerne 0.4716 and Kendall County 0.377, plus any special district on the parcel such as a MUD, the WCID or the groundwater conservation district.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Can I run a short-term rental in Boerne as an investment?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Yes, under City of Boerne Ordinance No. 2023-09, which requires a $200 two-year permit, a safety inspection inside city limits, $500,000 per-occurrence liability insurance and hotel occupancy tax of 13 percent combined. In residential zones an STR cannot operate within 200 feet of another STR on the same block face, which can disqualify a specific address.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What happens to ag-valued land in Kendall County if I develop it?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Changing the use of land under 1-d-1 open-space appraisal triggers a three-year rollback tax equal to the difference between taxes paid on agricultural value and taxes that would have been paid on market value. A CPA should model that liability before you buy ag-valued land for development.""
      }
    }
  ]
}"
"is-boerne-good-for-short-term-rentals","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Is Boerne, Texas good for short-term rentals?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Boerne allows short-term rentals under Ordinance No. 2023-09, so the real question is what caps the return. The binding constraints are a 200-foot block-face separation in residential zones, occupancy of two per bedroom plus two, a ban on events, 13 percent hotel occupancy tax, and a $500,000 liability insurance minimum.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What limits short-term rental revenue in Boerne?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Occupancy is capped at two people per bedroom plus two additional people, so a three-bedroom sleeps eight. Events are prohibited, which removes event or venue income entirely. Hotel occupancy tax of 13 percent and a $500,000 per-occurrence liability insurance requirement are both real operating costs.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Can I buy a Boerne home and be sure it will qualify as a short-term rental?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Not without checking. In residentially zoned areas an STR cannot operate within 200 feet of another STR on the same block face, and that allowance may already be used by an existing permit holder. Confirm eligibility for the specific address with the City of Boerne Planning Department at (830) 248-1501 during the option period.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Does a Boerne short-term rental permit transfer when the property sells?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""The permit term is two years, but transferability on sale is a question for the City of Boerne Planning Department. Get the answer in writing for the specific address before closing, because a buyer paying a short-term rental price may otherwise be relying on an approval they do not yet hold.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What demand data is actually verifiable for Boerne short-term rentals?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Kendall County grew 20.3 percent between 2020 and 2025, from an estimated 44,568 to 53,289, mostly through domestic migration, and Boerne sits about 31 miles from San Antonio on Interstate 10. That supports demand, but it is not an occupancy rate or a nightly rate. Pull actual comparable listing performance and have a CPA model it.""
      }
    }
  ]
}"
"is-boerne-texas-a-good-place-to-live","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Is Boerne, Texas a good place to live?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Boerne works well if you want Hill Country land, an A-rated school district, and a 30-to-45-minute I-10 commute to San Antonio. It is the county seat of Kendall County, not a San Antonio suburb. The trade-offs are 20.3 percent county growth since 2020, groundwater limits, and annual market-value reappraisal.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Is Boerne part of San Antonio?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""No. Boerne is the county seat of Kendall County, roughly 31 miles northwest of San Antonio on Interstate 10. It is a separate incorporated city in a different county, so San Antonio ordinances do not apply and the appraisal district is Kendall Appraisal District rather than Bexar CAD.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""How fast is the Boerne area growing?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Kendall County grew 20.3 percent between 2020 and 2025, from an estimated 44,568 to 53,289 residents, driven mostly by domestic migration. The City of Boerne's 2020 census population was 18,084; current city figures are estimates that vary by source.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""How good are the schools in Boerne?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Boerne ISD has earned an A rating from the Texas Education Agency for six consecutive years and scored 92 points in the 2024-2025 ratings with 20 distinction designations. Not every campus rated A; the Boerne Star reported lower grades for Viola Wilson, Currington, Herff and Kendall elementaries.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What are the downsides of living in Boerne?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Traffic and school capacity pressure from rapid county growth, a car-dependent layout outside downtown, annual market-value property tax reappraisal with no state income tax offset for many buyers, and real groundwater constraints regulated by the Cow Creek Groundwater Conservation District.""
      }
    }
  ]
}"
"is-boerne-texas-growing","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Is Boerne, Texas growing?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Yes. Kendall County grew 20.3 percent between 2020 and 2025, from an estimated 44,568 residents to 53,289, and most of that came from domestic migration rather than births. The City of Boerne's 2020 census population was 18,084; current city-level numbers are estimates that vary by source.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What is the population of Boerne, Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""The 2020 decennial census counted 18,084 people in the City of Boerne. Later figures are estimates that differ by vendor; World Population Review estimates roughly 25,209. Kendall County as a whole was estimated at 53,289 in 2025.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Why is Kendall County growing so fast?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Most of the growth is domestic migration, meaning households relocating from elsewhere in the United States rather than natural increase. In-migration adds a household immediately, often with equity from a prior sale, which is the fastest-acting form of housing demand.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What is limiting growth around Boerne?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Water and terrain. Boerne draws from Canyon Lake through the Guadalupe-Blanco River Authority, Boerne City Lake, and Trinity Group aquifer wells, and groundwater across Kendall County is regulated by the Cow Creek Groundwater Conservation District. Hill Country slope and rock also limit lot yield per acre.""
      }
    }
  ]
}"
"is-hill-country-land-a-good-investment","{
  ""@context"": ""https://schema.org"",
  ""@type"": ""FAQPage"",
  ""mainEntity"": [
    {
      ""@type"": ""Question"",
      ""name"": ""Is Texas Hill Country land a good investment?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Hill Country land is not a passive investment. The numbers that decide it are specific to the tract: whether it carries 1-d-1 open-space ag valuation, what a change of use would trigger in rollback taxes for the prior three years, legal access and easements, groundwater availability under Cow Creek GCD rules, and septic feasibility.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""How does a Texas ag exemption work on Hill Country land?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Under 1-d-1 open-space appraisal, land is valued on productivity value rather than market value. It requires current principal agricultural use, use to the degree of intensity generally accepted in the area, and agricultural or timber production in 5 of the preceding 7 years. Wildlife management use is available on previously qualified land and requires at least 3 of 7 specified activities.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What is the rollback tax when land comes out of ag use in Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Texas Tax Code 23.55 imposes an additional tax equal to the difference between the taxes imposed on the land for each of the three years preceding the year in which the change of use occurs. The rollback is triggered by the change of use, not the sale, so the buyer who changes the use inherits the bill.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""Is there an interest rate on Texas rollback taxes?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Texas Tax Code 23.55 does not impose a separate rollback interest rate. It provides only that the additional taxes incur penalties and interest as provided by law for ad valorem taxes imposed by the taxing unit if they are not paid by the delinquency deadline. Articles quoting a specific rollback interest percentage are not citing the statute.""
      }
    },
    {
      ""@type"": ""Question"",
      ""name"": ""What should I check before buying land in Kendall County, Texas?"",
      ""acceptedAnswer"": {
        ""@type"": ""Answer"",
        ""text"": ""Current ag valuation status and rollback exposure with the appraisal district, groundwater and well permitting with the Cow Creek Groundwater Conservation District, recorded legal access and easements with a Texas real estate attorney, a survey, the cost to extend electric service, septic feasibility, severed mineral rights, and any deed restrictions or POA. Raw land financing is also its own product and should be arranged before writing an offer.""
      }
    }
  ]
}"
